year,week,date,track,artists,url,track_popularity,track_name,track_artists,track_album_name,track_href,track_album_release_date,owner_id
2013,5,2 de febrero,Locked Out of Heaven,['Bruno Mars'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,43.0,Locked Out of Heaven,['Bruno Mars'],Unorthodox Jukebox,https://api.spotify.com/v1/tracks/1qCdYQdkWvm4cYXAuOlbyc,2012-12-10,pau_ik
2013,5,2 de febrero,Locked Out of Heaven,['Bruno Mars'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,42.0,Locked Out of Heaven,['Bruno Mars'],Locked Out Of Heaven,https://api.spotify.com/v1/tracks/5PsMbxhgWpJMsouEfDTX6r,2012-10-02,amane88
2013,6,9 de febrero,Locked Out of Heaven,['Bruno Mars'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,43.0,Locked Out of Heaven,['Bruno Mars'],Unorthodox Jukebox,https://api.spotify.com/v1/tracks/1qCdYQdkWvm4cYXAuOlbyc,2012-12-10,pau_ik
2013,6,9 de febrero,Locked Out of Heaven,['Bruno Mars'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,42.0,Locked Out of Heaven,['Bruno Mars'],Locked Out Of Heaven,https://api.spotify.com/v1/tracks/5PsMbxhgWpJMsouEfDTX6r,2012-10-02,amane88
2013,11,16 de marzo,Locked Out of Heaven,['Bruno Mars'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,43.0,Locked Out of Heaven,['Bruno Mars'],Unorthodox Jukebox,https://api.spotify.com/v1/tracks/1qCdYQdkWvm4cYXAuOlbyc,2012-12-10,pau_ik
2013,11,16 de marzo,Locked Out of Heaven,['Bruno Mars'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,42.0,Locked Out of Heaven,['Bruno Mars'],Locked Out Of Heaven,https://api.spotify.com/v1/tracks/5PsMbxhgWpJMsouEfDTX6r,2012-10-02,amane88
2013,9,2 de marzo,Scream & Shout,"['will.i.am', 'Britney Spears']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,10.0,Scream & Shout,"['will.i.am', 'Britney Spears']",Scream & Shout,https://api.spotify.com/v1/tracks/7n6ibfsRHhCb1Ccl9Fg2CZ,2012-01-01,angelus_
2013,10,9 de marzo,Scream & Shout,"['will.i.am', 'Britney Spears']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,10.0,Scream & Shout,"['will.i.am', 'Britney Spears']",Scream & Shout,https://api.spotify.com/v1/tracks/7n6ibfsRHhCb1Ccl9Fg2CZ,2012-01-01,angelus_
2013,12,23 de marzo,Try,['P!nk'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,69.0,Try,['P!nk'],The Truth About Love,https://api.spotify.com/v1/tracks/1jF7IL57ayN4Ity3jQqGu0,2012-09-18,dannig012
2013,14,6 de abril,Feel This Moment,"['Pitbull', 'Christina Aguilera']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,53.0,Feel This Moment,"['Pitbull', 'Christina Aguilera']",Global Warming,https://api.spotify.com/v1/tracks/4yOn1TEcfsKHUJCL2h1r8I,2012-11-16,dannig012
2013,15,13 de abril,Feel This Moment,"['Pitbull', 'Christina Aguilera']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,53.0,Feel This Moment,"['Pitbull', 'Christina Aguilera']",Global Warming,https://api.spotify.com/v1/tracks/4yOn1TEcfsKHUJCL2h1r8I,2012-11-16,dannig012
2013,18,4 de mayo,Feel This Moment,"['Pitbull', 'Christina Aguilera']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,53.0,Feel This Moment,"['Pitbull', 'Christina Aguilera']",Global Warming,https://api.spotify.com/v1/tracks/4yOn1TEcfsKHUJCL2h1r8I,2012-11-16,dannig012
2013,19,11 de mayo,Tu jardín con enanitos,['Melendi'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,62.0,Tu jardín con enanitos,['Melendi'],Lágrimas desordenadas,https://api.spotify.com/v1/tracks/6yCjU5j6YHbux2VQCBTTE1,2012-11-13,amane88
2013,21,25 de mayo,Tu jardín con enanitos,['Melendi'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,62.0,Tu jardín con enanitos,['Melendi'],Lágrimas desordenadas,https://api.spotify.com/v1/tracks/6yCjU5j6YHbux2VQCBTTE1,2012-11-13,amane88
2013,25,22 de junio,Get Lucky,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,69.0,Get Lucky,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",Random Access Memories,https://api.spotify.com/v1/tracks/69kOkLUCkxIZYexIgSG8rq,2013-05-17,dannig012
2013,26,29 de junio,Get Lucky,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,69.0,Get Lucky,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",Random Access Memories,https://api.spotify.com/v1/tracks/69kOkLUCkxIZYexIgSG8rq,2013-05-17,dannig012
2013,28,13 de julio,Let Her Go,['Passenger'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,73.0,Let Her Go,['Passenger'],All The Little Lights,https://api.spotify.com/v1/tracks/7DFNE7NO0raLIUbgzY2rzm,2012-11-05,aechos
2013,29,20 de julio,Let Her Go,['Passenger'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,73.0,Let Her Go,['Passenger'],All The Little Lights,https://api.spotify.com/v1/tracks/7DFNE7NO0raLIUbgzY2rzm,2012-11-05,aechos
2013,33,17 de agosto,Blurred Lines,"['Robin Thicke', 'T.I.', 'Pharrell Williams']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,14.0,Blurred Lines,"['Robin Thicke', 'T.I.', 'Pharrell Williams']",Blurred Lines (Deluxe),https://api.spotify.com/v1/tracks/0Rz1KXsP4bhGxs0ffySSSn,2013-01-01,brunocossio
2013,35,31 de agosto,Blurred Lines,"['Robin Thicke', 'T.I.', 'Pharrell Williams']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,14.0,Blurred Lines,"['Robin Thicke', 'T.I.', 'Pharrell Williams']",Blurred Lines (Deluxe),https://api.spotify.com/v1/tracks/0Rz1KXsP4bhGxs0ffySSSn,2013-01-01,brunocossio
2013,36,7 de septiembre,Blurred Lines,"['Robin Thicke', 'T.I.', 'Pharrell Williams']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,14.0,Blurred Lines,"['Robin Thicke', 'T.I.', 'Pharrell Williams']",Blurred Lines (Deluxe),https://api.spotify.com/v1/tracks/0Rz1KXsP4bhGxs0ffySSSn,2013-01-01,brunocossio
2013,39,28 de septiembre,La La La,"['Naughty Boy', 'Sam Smith']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,55.0,La La La,"['Naughty Boy', 'Sam Smith']",La La La,https://api.spotify.com/v1/tracks/52gvlDnre9craz9dKGObp8,2013-01-01,brunocossio
