,date,open,close,volume,change,changePercent,vwap
342,2016-06-29,119.16,119.49,5020400.0,-0.33,-0.277,119.48333
343,2016-06-30,119.68,120.34,4808100.0,-0.66,-0.551,120.03
344,2016-07-01,119.72,120.4,3798100.0,-0.68,-0.568,120.30667
345,2016-07-05,120.12,120.76,5191100.0,-0.64,-0.533,120.55333
346,2016-07-06,119.29,120.63,5102800.0,-1.34,-1.123,120.19667
347,2016-07-07,120.89,120.92,3621300.0,-0.03,-0.025,120.85667
348,2016-07-08,121.22,121.31,3809600.0,-0.09,-0.074,121.36
349,2016-07-11,121.69,122.0,4266300.0,-0.31,-0.255,121.86
350,2016-07-12,122.0,122.25,3742000.0,-0.25,-0.205,122.26667
351,2016-07-13,122.36,122.82,3464200.0,-0.46,-0.376,122.66667
352,2016-07-14,123.7,123.93,6011900.0,-0.23,-0.186,123.71667
353,2016-07-15,124.42,123.61,3688400.0,0.81,0.651,123.81333
354,2016-07-18,124.0,123.8,5254700.0,0.2,0.161,123.73
355,2016-07-19,124.08,126.5,6277700.0,-2.42,-1.95,125.61667
356,2016-07-20,126.84,126.06,3353300.0,0.78,0.615,126.16333
357,2016-07-21,126.42,127.18,3572100.0,-0.76,-0.601,126.78
358,2016-07-22,127.29,128.26,4304200.0,-0.97,-0.762,128.05
359,2016-07-25,127.95,127.4,6210100.0,0.55,0.43,127.40333
360,2016-07-26,123.5,121.71,14563700.0,1.79,1.449,122.34333
361,2016-07-27,121.69,119.48,9939200.0,2.21,1.816,120.17
362,2016-07-28,119.59,119.42,6239400.0,0.17,0.142,119.32
363,2016-07-29,119.14,117.65,7460900.0,1.49,1.251,118.24667
364,2016-08-01,117.88,118.01,4208800.0,-0.13,-0.11,118.04667
365,2016-08-02,118.18,117.7,4504200.0,0.48,0.406,117.84
366,2016-08-03,117.77,117.52,4120000.0,0.25,0.212,117.56
367,2016-08-04,117.85,118.3,4313200.0,-0.45,-0.382,118.14333
368,2016-08-05,118.78,119.21,3883800.0,-0.43,-0.362,119.08667
369,2016-08-08,119.17,118.29,3589300.0,0.88,0.738,118.62
370,2016-08-09,117.98,118.31,3491700.0,-0.33,-0.28,118.34667
371,2016-08-10,118.0,118.8,2941700.0,-0.8,-0.678,118.46333
372,2016-08-11,118.87,119.38,3490200.0,-0.51,-0.429,119.32667
373,2016-08-12,119.57,119.52,3015700.0,0.05,0.042,119.60667
374,2016-08-15,119.02,118.52,3391600.0,0.5,0.42,118.76333
375,2016-08-16,118.31,117.94,3333900.0,0.37,0.313,118.13
376,2016-08-17,117.98,117.1,5184900.0,0.88,0.746,117.2
377,2016-08-18,117.24,117.13,3710500.0,0.11,0.094,117.1
378,2016-08-19,116.8,115.01,7065700.0,1.79,1.533,115.60333
379,2016-08-22,115.0,115.42,4484700.0,-0.42,-0.365,115.26667
380,2016-08-23,115.91,115.19,4305400.0,0.72,0.621,115.45333
381,2016-08-24,115.15,114.87,4135400.0,0.28,0.243,115.0
382,2016-08-25,115.1,115.43,6694100.0,-0.33,-0.287,115.36333
383,2016-08-26,115.63,114.44,5294500.0,1.19,1.029,114.70667
384,2016-08-29,114.6,115.41,4983000.0,-0.81,-0.707,115.18667
385,2016-08-30,115.41,115.36,5085300.0,0.05,0.043,115.27667
386,2016-08-31,115.51,115.66,5394700.0,-0.15,-0.13,115.62
387,2016-09-01,115.51,115.4,3966600.0,0.11,0.095,115.35667
388,2016-09-02,115.93,115.83,3410100.0,0.1,0.086,115.88
389,2016-09-06,117.09,117.25,6337900.0,-0.16,-0.137,117.8
390,2016-09-07,117.27,116.92,2647700.0,0.35,0.298,116.95
391,2016-09-08,116.82,116.17,3085600.0,0.65,0.556,116.44
392,2016-09-09,115.6,114.58,4961100.0,1.02,0.882,114.97333
393,2016-09-12,114.47,115.95,5014000.0,-1.48,-1.293,115.42
394,2016-09-13,115.61,114.73,4162200.0,0.88,0.761,114.94
395,2016-09-14,115.0,115.18,4530700.0,-0.18,-0.157,115.22
396,2016-09-15,114.88,116.14,3671200.0,-1.26,-1.097,115.71667
